사건번호,법원,물건종류,용도설명,소재지,감정가(원),최저매각가(원),낙찰가(원),매각기일,유찰횟수,거리(m)
2024타경93840,수원지방법원,아파트,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 605 더샵광교레이크시티 104동 26층2604호,405000000,283500000,341281000,2025-09-10,1,24
2025타경1345,수원지방법원,주거용,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 605 더샵광교레이크시티 근린생활시설동-1동 지2층비2-25호,1450000000,1015000000,0,2026-04-14,2,24
2024타경2530,수원지방법원,아파트,아파트,경기도 수원시 영통구 원천동 593 광교아이파크 107동 18층1804호,987000000,690900000,799999999,2025-06-16,1,250
2024타경98364,수원지방법원,아파트,아파트,경기도 수원시 영통구 원천동 593 광교아이파크 104동 25층2501호,1340000000,1340000000,0,2026-05-11,1,250
2024타경7290,수원지방법원,아파트,아파트,경기도 수원시 영통구 원천동 548 원천레이크파크아파트 203동 7층703호,408000000,408000000,426000000,2025-05-21,0,414
2024타경79202,수원지방법원,아파트,아파트,경기도 수원시 영통구 원천동 548 원천레이크파크아파트 202동 12층1206호,420000000,420000000,451200000,2025-08-19,0,414
2024타경81083,수원지방법원,아파트,아파트,경기도 수원시 영통구 매탄동 1211 한국아파트 104동 5층508호,600000000,420000000,550100000,2025-08-12,1,451
2025타경916,수원지방법원,아파트,아파트,경기도 수원시 영통구 매탄동 1211 한국아파트 103동 8층803호,612000000,612000000,0,2026-05-06,1,451
2024타경13936,수원지방법원,기타건물,기타,경기도 수원시 영통구 원천동 263-15,23100000,23100000,50010000,2025-10-29,0,645
2023타경13632,수원지방법원,주거용,기타,경기도 수원시 영통구 원천동 246 에이스스마트윙영통지식산업센터 1동 13층1309호,190000000,65170000,82570000,2025-04-28,3,761
2024타경3632,수원지방법원,주거용,근린시설,경기도 수원시 영통구 원천동 246 에이스스마트윙영통지식산업센터 1동 12층1210호,190000000,65170000,102000000,2026-04-10,3,761
2025타경842,수원지방법원,주거용,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 246 에이스스마트윙영통지식산업센터 1 11층1125호,182000000,62426000,106800000,2026-04-14,3,761
2024타경6877,수원지방법원,아파트,아파트,경기도 수원시 영통구 매탄동 1217-5 백자아파트 101동 1층112호,462000000,323400000,390100999,2025-08-20,1,780
2024타경9609,수원지방법원,아파트,아파트,경기도 수원시 영통구 원천동 333-3 원천1차삼성아파트 1동 13층1302호,239000000,167300000,206080000,2025-08-29,1,850
2024타경77879,수원지방법원,아파트,아파트,경기도 수원시 영통구 원천동 300-3 신미주아파트 102동 19층1901호,350000000,245000000,260777000,2025-09-26,1,899
2024타경9586,수원지방법원,아파트,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 296-6 수원영통아크로파크 12(104동)층1203호,332000000,232400000,259500050,2025-09-24,1,980
2024타경94874,수원지방법원,주거용,근린시설,경기도 수원시 영통구 원천동 552 영통이노플렉스-1단지 1동 11층1-1101호,328000000,229600000,248072000,2025-11-03,1,1060
2023타경85408,수원지방법원,아파트,다세대,경기도 수원시 영통구 매탄동 198-88 198빌 2층201호,333000000,163170000,205500000,2025-10-29,2,1176
2024타경10302,수원지방법원,주거용,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 589 광교중흥에스클래스판매시설 지1층비1-133호,730000000,357700000,0,2026-06-09,3,1200
2024타경91196,수원지방법원,아파트,아파트,경기도 수원시 영통구 원천동 589 광교중흥에스클래스 109동 43층4303호,1670000000,1169000000,1714132598,2025-12-08,1,1200
2023타경87145,수원지방법원,아파트,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 353-15 힐스해피하우스,3455947000,1693414000,2439763000,2025-10-14,2,1265
2024타경94669,수원지방법원,기타건물,단독주택다가구,경기도 수원시 영통구 매탄동 860-3,2413656000,1689559000,0,2026-06-09,2,1288
2024타경93758,수원지방법원,아파트,"연립주택,다세대,빌라",경기도 수원시 영통구 매탄동 209-39 우석연립 3층302호,281000000,137690000,171409972,2026-01-12,2,1320
2024타경72256,수원지방법원,아파트,아파트,경기도 수원시 영통구 원천동 35 원천주공아파트 106동 2층211호,280000000,196000000,261110000,2025-11-12,1,1330
2024타경9869,수원지방법원,기타건물,다가구주택,경기도 수원시 영통구 원천동 406-4,2736527590,1915569000,0,2026-04-29,2,1377
2023타경11919,수원지방법원,기타건물,단독주택다가구,경기도 수원시 영통구 매탄동 407-15,1753189120,1227232000,1240000000,2026-01-07,1,1398
2024타경10029,수원지방법원,주거용,오피스텔,경기도 수원시 영통구 하동 1017-4 포레나광교 40층101동4001호,1150000000,1150000000,0,2026-04-24,1,1403
2024타경86965,수원지방법원,아파트,단독주택,경기도 수원시 영통구 매탄동 407-24,1750414760,857703000,1192600760,2025-09-05,2,1426
2024타경87111,수원지방법원,아파트,아파트,경기도 수원시 영통구 이의동 1370 광교에듀포레 5001동 10층1003호,1090000000,1090000000,1388009999,2026-03-17,0,1451
2023타경53197,수원지방법원,아파트,아파트,경기도 수원시 영통구 하동 1021 힐스테이트광교 103동 8층803호,1580000000,1106000000,1480300000,2025-10-24,1,1525
2024타경8217,수원지방법원,주거용,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 627 현대테라타워영통 10층비1002호,165000000,80850000,84850000,2025-10-14,2,1563
2025타경1127,수원지방법원,주거용,"상가,오피스텔,근린시설",경기도 수원시 영통구 원천동 627 현대테라타워영통 13층비1317호,151000000,73990000,85190000,2026-04-14,2,1563
2024타경99800,수원지방법원,아파트,아파트,경기도 수원시 영통구 영통동 1166 청명센트레빌 102동 5층503호,692000000,484400000,649999999,2025-12-22,1,1575
2024타경12926,수원지방법원,아파트,아파트,경기도 수원시 영통구 매탄동 810-4 성일아파트 201동 2층201호,212000000,148400000,188999999,2026-01-27,1,1601
2024타경63948,수원지방법원,아파트,아파트,경기도 수원시 영통구 매탄동 810-4 성일아파트 203동 13층1305호,275000000,192500000,254000000,2025-07-02,1,1601
2024타경102171,수원지방법원,아파트,아파트,경기도 수원시 영통구 매탄동 810-2 동남아파트 1동 8층807호,292000000,292000000,0,2026-04-20,1,1618
2024타경85108,수원지방법원,아파트,오피스텔,경기도 수원시 영통구 이의동 1338 광교센트럴푸르지오시티 14층에이동1432호,158000000,110600000,110600000,2025-09-01,1,1633
2024타경96245,수원지방법원,아파트,오피스텔,경기도 수원시 영통구 이의동 1338 광교센트럴푸르지오시티 8층 에이동 867호,148000000,103600000,138595000,2025-11-05,1,1633
2024타경98234,수원지방법원,아파트,오피스텔,경기도 수원시 영통구 이의동 1338 광교센트럴푸르지오시티 11층에이동1121호,155000000,75950000,75950000,2025-12-17,2,1633
2025타경50260,수원지방법원,아파트,오피스텔,경기도 수원시 영통구 이의동 1338 광교센트럴푸르지오시티 5층에이동514호,203000000,142100000,194250000,2026-03-11,1,1633
2024타경64293,수원지방법원,아파트,아파트,경기도 수원시 영통구 하동 1019 광교더샵레이크파크 102동 31층3105호,974000000,681800000,865000000,2025-05-28,1,1692
2024타경56674,수원지방법원,아파트,오피스텔,경기도 수원시 영통구 이의동 1336-1 광교엘포트아이파크 15층비1534호,205000000,70315000,70707070,2025-04-29,3,1693
2024타경64170,수원지방법원,아파트,"상가,오피스텔,근린시설",경기도 수원시 영통구 이의동 1336-1 광교엘포트아이파크 13층씨1301호,215000000,73745000,195000000,2025-12-01,3,1693
2024타경67186,수원지방법원,아파트,오피스텔,경기도 수원시 영통구 이의동 1336-1 광교엘포트아이파크 9층비911호,207000000,144900000,144900000,2025-08-19,1,1693
