사건번호,물건종류,소재지,감정가(원),최저매각가(원),매각기일,유찰횟수,거리(m)
2025타경56486,아파트,경기도 수원시 영통구 원천동 548 원천레이크파크아파트 221동 15층1504호,652000000,652000000,2026-04-28,1,414
2024타경9869,기타건물,경기도 수원시 영통구 원천동 406-4,2736527590,1915569000,2026-04-29,2,1377
2024타경10029,주거용,경기도 수원시 영통구 하동 1017-4 포레나광교 40층101동4001호,1150000000,1150000000,2026-04-24,1,1403
2025타경54101,아파트,경기도 수원시 영통구 하동 1021 힐스테이트광교 105동 21층2101호,1610000000,1610000000,2026-04-29,1,1525
2024타경102171,아파트,경기도 수원시 영통구 매탄동 810-2 동남아파트 1동 8층807호,292000000,292000000,2026-04-20,1,1618
2025타경51089,아파트,경기도 수원시 영통구 하동 1019 광교더샵레이크파크 102동 5층501호,550000000,550000000,2026-04-29,0,1692
2025타경50444,아파트,경기도 수원시 영통구 이의동 1336-1 광교엘포트아이파크 4층에이404호,204000000,204000000,2026-04-17,0,1693
2024타경13974,주거용,경기도 수원시 영통구 하동 1016 광교효성해링턴타워 13층에이동1311호,266000000,266000000,2026-04-24,1,1797
2025타경1574,아파트,경기도 수원시 영통구 매탄동 1258 매탄 에듀파크시티1 103동 17층1704호,513000000,513000000,2026-04-27,1,1829
2023타경12349,기타건물,경기도 용인시 기흥구 영덕동 1068-6,1920584800,1344409000,2026-04-27,2,1885
2024타경3939,아파트,경기도 수원시 영통구 영통동 956-2 동신아파트 315동 7층703호,1016000000,1016000000,2026-04-24,0,2015
2024타경78797,아파트,경기도 수원시 팔달구 인계동 373-2 아미힐 5층512호,161000000,18941000,2026-04-24,7,2059
2023타경12462,아파트,경기도 수원시 영통구 영통동 1054-3 한국아파트 214동 4층405호,335000000,335000000,2026-04-20,1,2153
2025타경55521,주거용,경기도 수원시 영통구 하동 989 원희캐슬광교 1층에이-111호,1145000000,801500000,2026-04-28,2,2245
2024타경93116,아파트,경기도 수원시 팔달구 인계동 1114-5 인계미루아파트 2층215호,62000000,62000000,2026-04-21,0,2414
2025타경57712,아파트,경기도 수원시 영통구 이의동 1351-2 광교코아루에스 15층1509호,142000000,142000000,2026-04-27,1,2444
2024타경50874,아파트,경기도 수원시 팔달구 인계동 1120 캐슬타워 5(101)층504호,300000000,35294000,2026-04-21,7,2535
2023타경13434,아파트,경기도 수원시 팔달구 인계동 1036-9 아임홈 6층603호,138000000,1908000,2026-04-20,13,2546
2025타경54320,아파트,경기도 수원시 영통구 영통동 973-3 두산아파트 801동 16층1604호,489000000,489000000,2026-04-21,1,2679
2024타경91943,주거용,경기도 용인시 기흥구 영덕동 1315 힉스유타워 에이동 15층1501호,2012000000,2012000000,2026-04-29,0,2704
2024타경13738,주거용,경기도 수원시 팔달구 인계동 1034-3 드라마시티 2층205호,276000000,276000000,2026-04-17,1,2739
2024타경84440,아파트,경기도 수원시 팔달구 인계동 1022-3 센트럴하임 12층1209호,149000000,104300000,2026-04-21,6,2815
2024타경96153,주거용,경기도 수원시 팔달구 인계동 1022-3 센트럴하임 2층201호,924000000,452760000,2026-04-20,3,2815
2024타경10678,주거용,경기도 수원시 팔달구 인계동 962-14 스카이하우스 2층201호,542000000,265580000,2026-04-22,3,2871
2024타경97934,아파트,경기도 수원시 팔달구 인계동 1027-3 에코휘게1주건축물제1동 4층401호,193000000,193000000,2026-04-22,1,3022
2025타경50994,주거용,경기도 수원시 영통구 망포동 41-51 망포역플래티넘베이스주건축물제1동 7층702호,1958000000,1958000000,2026-04-21,1,3091
2024타경10593,아파트,경기도 수원시 영통구 이의동 1286 에이스광교타워3 15층1513호,204000000,99960000,2026-04-21,2,3175
2024타경13981,아파트,경기도 수원시 영통구 망포동 722 그대가센트럴파크 202동 17층1701호,970000000,970000000,2026-04-20,1,3321
2024타경11350,아파트,경기도 수원시 팔달구 인계동 987-12 그린빌주건축물 1동 2층201호,181000000,88690000,2026-04-21,3,3340
2024타경13516,아파트,경기도 용인시 기흥구 하갈동 383 시더스프리미엄힐 씨동 2층202호,510000000,510000000,2026-04-29,0,3350
2025타경54818,아파트,경기도 수원시 영통구 이의동 1258 광교에코푸르지오시티 에이동 3층302호,185000000,185000000,2026-04-29,0,3432
2024타경98517,주거용,경기도 수원시 영통구 이의동 1248-2 리치프라자3 1층101호,1667000000,1667000000,2026-04-17,1,3460
2025타경56859,아파트,경기도 수원시 영통구 망포동 488 늘푸른벽산아파트 111동 20층2001호,537000000,537000000,2026-04-28,0,3557
2023타경10275,주거용,경기도 수원시 팔달구 팔달로1가 12-3 2층201호,240000000,40337000,2026-04-29,6,3903
2025타경56424,아파트,경기도 수원시 영통구 망포동 810 영통롯데캐슬엘클래스2단지 208동 10층1002호,849000000,849000000,2026-04-22,1,3994
2025타경56334,아파트,경기도 수원시 영통구 이의동 1200 광교2차이편한세상 8502동 9층903호,981000000,981000000,2026-04-22,1,4045
2024타경6105,주거용,경기도 용인시 기흥구 농서동 452 기흥테라타워현대엔지니어링지식산업센터 9층티-9054호,285000000,139650000,2026-04-21,3,4630
2024타경95747,주거용,경기도 용인시 기흥구 농서동 452 기흥테라타워현대엔지니어링지식산업센터 2층티-234호,554000000,554000000,2026-04-17,1,4630
2024타경94331,아파트,경기도 수원시 팔달구 고등동 16-4 테라타워빌에이동 4층401호,252000000,252000000,2026-04-21,0,4639
2024타경7955,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘164호,2147000000,360847000,2026-04-24,6,4742
2024타경10869,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘184호,1050000000,735000000,2026-04-22,2,4742
